ticker,cash,value,SharpeRatio,DrawDown
VLO,2609006,2609006,0.41,32.15%
ZTS,325217,3355293,0.66,31.72%
FDX,242845,2820141,0.42,31.84%
TYL,1023713,10859409,0.66,33.03%
SCHW,2278650,2278650,0.3,34.02%
AMP,311796,3503927,0.41,31.97%
ROK,284224,3607937,0.54,31.85%
PTC,204015,2501098,0.39,44.51%
NSC,1941742,1941742,0.35,33.32%
ETSY,5832825,5832825,0.55,44.09%
MTD,3447148,3447148,0.81,27.12%
ITW,341089,3601367,0.67,23.84%
SPGI,603809,6733548,1.04,21.32%
EL,3025563,3025563,0.46,29.08%
MCO,430177,4432519,0.67,33.93%
MPWR,3674153,3674153,0.47,52.79%
CBRE,210594,2168479,0.31,41.35%
ETN,249805,3005145,0.48,28.63%
ALGN,748185,5480352,0.45,40.76%
NFLX,12565205,12565205,0.44,33.58%
LEN,186851,2771845,0.34,33.08%
FITB,1770224,1770224,0.24,38.38%
WST,630749,6676160,0.6,27.96%
GWW,1727465,1727465,0.26,43.35%
TRGP,385583,4354652,0.45,36.71%
FICO,391858,4104167,0.64,29.77%
AXON,556305,7687381,0.64,49.48%
JPM,189224,2295509,0.45,24.23%
MRNA,7471845,7471845,0.49,40.3%
TSLA,34155654,34155654,0.44,65.14%
COP,190451,1961752,0.3,47.01%
DHR,3694944,3694944,0.54,26.94%
TXT,1288058,1288058,0.13,39.86%
ROL,236643,2863212,0.46,40.15%
GOOGL,142938,2099337,0.29,27.24%
BRO,291838,3340945,0.57,25.99%
ANET,180058,2054336,0.3,43.44%
DRI,123096,1550707,0.25,46.98%
META,361655,5217464,0.75,32.61%
MMC,316453,3460091,0.55,22.55%
POOL,831138,8522708,0.96,25.42%
CZR,735953,6363485,0.86,25.87%
ORLY,6077316,6077316,0.75,32.31%
SNPS,4132640,4132640,0.53,39.38%
GOOG,158462,2301685,0.32,28.89%
EPAM,6440240,6440240,0.73,29.73%
LYV,291861,3291040,0.38,31.12%
AVGO,7669698,7669698,0.62,42.54%
FSLR,88813,1997519,0.28,46.54%
TEL,260647,3035795,0.48,28.53%
ON,110639,1524567,0.21,50.2%
RSG,256584,2790125,0.51,21.84%
TRMB,2564468,2564468,0.47,30.25%
LW,104702,1507615,0.36,34.84%
MS,4012334,4012334,0.58,25.89%
CSX,265454,2632596,0.43,28.93%
ZION,1595962,1595962,0.22,34.95%
RJF,1368651,1368651,0.15,31.81%
UNH,4742241,4742241,0.75,35.06%
TTWO,311250,3452884,0.36,42.46%
TT,417738,4665436,0.65,25.25%
TGT,2639190,2639190,0.44,27.65%
AAPL,639095,7877832,0.71,32.76%
GRMN,355920,3648423,0.65,29.79%
BX,429734,5162777,0.43,40.29%
NTAP,129129,1478891,0.18,50.43%
KEYS,249278,2536883,0.5,28.2%
CRL,2372833,2372833,0.36,42.7%
MU,549908,5378121,0.38,46.23%
CDW,226423,2258984,0.37,31.63%
DOV,254507,2585869,0.4,21.96%
CRM,158585,1979528,0.31,37.41%
PGR,2839873,2839873,0.44,28.58%
LRCX,4658413,4658413,0.56,41.72%
BLK,226321,2387616,0.39,29.49%
